,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
472,Jaciara,BR,-15.9653,-54.9683,72.63,48,0,3.51,clear sky
473,Koundara,GN,12.4833,-13.3,74.01,96,52,4.5,moderate rain
474,Niesky,DE,51.2924,14.8211,55.65,96,96,9.82,overcast clouds
475,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,74.48,42,4,3.02,clear sky
476,Uyemskiy,RU,64.4743,40.8524,55.06,87,20,4.47,few clouds
477,Manggar,ID,-2.8833,108.2667,84.13,68,81,10.67,broken clouds
478,Alakurtti,RU,66.9672,30.3491,52.92,96,100,7.67,light rain
479,Nyurba,RU,63.2842,118.3319,57.67,86,100,3.15,light rain
480,Diu,IN,20.7141,70.9822,81.46,81,100,17.11,overcast clouds
481,Arman,RU,59.7,150.1667,86.02,77,34,6.69,scattered clouds
482,Sibolga,ID,1.7427,98.7792,80.76,72,100,0.72,overcast clouds
483,Kutum,SD,14.2,24.6667,78.21,43,83,5.28,broken clouds
484,Rach Gia,VN,10.0167,105.0833,79.99,81,100,25.88,overcast clouds
485,Eureka,US,40.8021,-124.1637,69.13,76,15,7.0,few clouds
486,Hambantota,LK,6.1241,81.1185,80.94,78,40,6.91,scattered clouds
487,Yulara,AU,-25.2406,130.9889,55.53,36,0,10.47,clear sky
488,Aleksandrov Gay,RU,50.147,48.5704,74.07,50,12,7.49,few clouds
489,Alghero,IT,40.5589,8.3181,64.49,88,0,2.3,clear sky
490,Galesong,ID,-5.3166,119.3661,78.82,81,77,1.54,broken clouds
491,Paso De Carrasco,UY,-34.8603,-56.0522,64.54,77,0,14.97,clear sky
492,Kijang,KR,35.2442,129.2139,85.73,81,69,10.58,broken clouds
493,Ilongero,TZ,-4.6667,34.8667,53.28,72,0,11.77,clear sky
494,Quelimane,MZ,-17.8786,36.8883,66.15,88,0,2.3,clear sky
495,Chernaya Kholunitsa,RU,58.8511,51.7154,62.38,92,88,2.46,overcast clouds
496,Yerraguntla,IN,14.6372,78.5395,78.73,74,96,17.69,overcast clouds
497,Nemuro,JP,43.3236,145.575,58.51,99,100,15.88,overcast clouds
498,Dongli,CN,23.5656,116.8194,87.78,74,20,2.24,few clouds
499,Marystown,CA,47.1666,-55.1483,55.85,100,17,11.56,few clouds
500,Marrakesh,MA,31.6315,-8.0083,89.67,19,83,3.44,broken clouds
501,Teahupoo,PF,-17.8333,-149.2667,76.96,71,89,17.27,overcast clouds
502,Baker City,US,44.7749,-117.8344,78.51,41,0,14.97,clear sky
503,Keokuk,US,40.3973,-91.3849,79.25,78,20,4.61,few clouds
504,Vao,NC,-22.6667,167.4833,76.44,75,95,19.6,overcast clouds
505,Kurilsk,RU,45.2333,147.8833,64.47,58,96,11.86,overcast clouds
506,Kandrian,PG,-6.2167,149.55,86.09,66,45,10.02,scattered clouds
507,Batagay,RU,67.6333,134.6333,62.49,53,100,4.94,overcast clouds
508,Rurrenabaque,BO,-14.4413,-67.5278,74.88,72,65,1.74,broken clouds
509,Porirua,NZ,-41.1333,174.85,50.85,71,100,14.58,overcast clouds
510,Pisco,PE,-13.7,-76.2167,61.02,88,20,11.5,mist
511,Hami,CN,42.8,93.45,89.83,12,50,5.57,scattered clouds
512,Liverpool,GB,53.4106,-2.9779,60.75,90,40,9.22,scattered clouds
513,Dingle,PH,10.9995,122.6711,83.48,78,68,13.22,broken clouds
514,Saint Anthony,US,45.0205,-93.218,80.92,58,75,9.22,broken clouds
515,Moindou,NC,-21.6924,165.677,81.73,62,99,13.4,overcast clouds
516,Troitsko-Pechorsk,RU,62.7084,56.1964,65.95,58,16,2.62,few clouds
517,Yangambi,CD,0.8102,24.4336,72.81,80,96,0.81,overcast clouds
518,Luque,ES,37.558,-4.2797,71.67,40,0,3.2,clear sky
519,Pemba,MZ,-12.974,40.5178,71.78,76,1,10.63,light rain
520,Sinnamary,GF,5.3833,-52.95,77.49,88,100,7.61,overcast clouds
521,Inirida,CO,3.8653,-67.9239,73.17,98,100,2.24,moderate rain
522,Saquarema,BR,-22.92,-42.5103,67.17,90,5,11.16,clear sky
523,Sisimiut,GL,66.9395,-53.6735,40.1,89,100,5.82,overcast clouds
524,Eganville,CA,45.5334,-77.0994,65.52,60,73,3.8,broken clouds
525,Jian,CN,27.1172,114.9793,89.51,68,11,10.13,few clouds
526,Honiara,SB,-9.4333,159.95,87.13,62,17,7.27,few clouds
527,Robertsport,LR,6.7533,-11.3686,76.42,88,96,8.79,moderate rain
528,Kokstad,ZA,-30.5472,29.4241,44.37,37,0,4.85,clear sky
529,Zunyi,CN,27.6867,106.9072,77.77,76,83,9.62,broken clouds
530,Cabedelo,BR,-6.9811,-34.8339,74.07,85,25,14.88,scattered clouds
531,Bucosnita,RO,45.3,22.2667,56.89,75,23,0.6,few clouds
532,Emerald,AU,-23.5333,148.1667,59.34,48,0,13.06,clear sky
533,Luebo,CD,-5.35,21.4167,66.4,48,12,1.7,few clouds
534,Sorland,NO,67.667,12.6934,51.66,83,0,4.94,clear sky
535,Konstantinovka,RU,49.6167,127.9833,73.35,57,49,14.14,scattered clouds
536,Ekhabi,RU,53.5102,142.9671,76.01,61,1,15.1,clear sky
537,Indramayu,ID,-6.3264,108.32,80.28,69,96,7.16,overcast clouds
538,Camacha,PT,33.0833,-16.3333,63.82,88,75,18.41,broken clouds
539,Srednekolymsk,RU,67.45,153.6833,61.47,39,63,4.85,broken clouds
540,Silveira,PT,39.1112,-9.3643,80.38,91,0,1.99,clear sky
541,Okhotsk,RU,59.3833,143.3,66.99,65,100,9.91,overcast clouds
542,Abu Samrah,SY,35.3029,37.1841,70.97,68,0,14.67,clear sky
543,Benoy,TD,8.9833,16.3199,72.07,94,100,5.14,light rain
544,Oussouye,SN,12.485,-16.5469,80.78,84,100,6.49,overcast clouds
545,Horta,PT,38.5333,-28.6333,67.01,77,57,9.69,broken clouds
546,Willmar,US,45.1219,-95.0433,80.62,72,0,5.75,clear sky
547,Uribia,CO,11.7139,-72.266,82.85,70,100,16.69,overcast clouds
548,Kidal,ML,18.4411,1.4078,88.16,28,65,10.94,broken clouds
549,Donja Dubica,BA,45.075,18.4114,63.27,70,100,6.33,overcast clouds
550,Bambanglipuro,ID,-7.95,110.2833,80.35,72,19,13.31,few clouds
551,Moose Factory,CA,51.2585,-80.6094,64.4,68,0,3.44,clear sky
552,Antu,IN,26.05,81.9167,91.42,51,0,12.91,clear sky
553,North Platte,US,41.1239,-100.7654,91.11,56,0,15.01,clear sky
554,Monroe,US,43.1501,-77.6831,63.91,71,4,3.27,clear sky
555,Noshiro,JP,40.2039,140.0242,76.03,66,100,1.39,overcast clouds
556,Mumbwa,ZM,-14.9783,27.0619,54.79,72,1,6.85,clear sky
557,Kieta,PG,-6.2167,155.6333,84.56,65,46,8.66,scattered clouds
558,Waingapu,ID,-9.6567,120.2641,82.51,68,100,16.28,overcast clouds
559,Prince Rupert,CA,54.3161,-130.3201,59.09,83,100,18.41,overcast clouds
560,Livingston,GB,55.9029,-3.5226,58.86,88,0,5.75,clear sky
561,Taltal,CL,-25.4,-70.4833,58.62,74,65,1.72,broken clouds
562,Saint-Pierre,RE,-21.3393,55.4781,66.9,72,20,12.66,few clouds
563,Yerbogachen,RU,61.2767,108.0108,68.5,43,4,4.03,clear sky
564,Fort Nelson,CA,58.8053,-122.7002,60.39,82,75,11.5,light intensity shower rain
565,Rio Gallegos,AR,-51.6226,-69.2181,19.45,86,20,12.66,few clouds
566,Kruisfontein,ZA,-34.0033,24.7314,57.88,88,48,5.53,scattered clouds
567,Acapulco,MX,16.8634,-99.8901,81.39,84,91,9.93,overcast clouds
568,Pemangkat,ID,1.1667,108.9667,82.9,68,24,5.5,few clouds
569,Iracoubo,GF,5.4802,-53.2011,76.75,90,100,7.29,overcast clouds
570,Naze,JP,28.3667,129.4833,88.72,79,4,8.37,clear sky
571,Ayan,RU,56.45,138.1667,60.57,86,99,11.65,overcast clouds
572,Nieuw Amsterdam,SR,5.8833,-55.0833,77.16,92,100,5.01,overcast clouds
573,Cavalcante,BR,-13.7975,-47.4583,65.84,44,0,6.17,clear sky
574,Westport,US,41.1415,-73.3579,74.97,57,0,3.44,clear sky
575,Rafai,CF,4.95,23.9167,67.05,98,91,2.59,overcast clouds
576,Parkes,AU,-33.1333,148.1833,53.35,64,18,11.25,few clouds
577,Heerenveen,NL,52.95,5.9333,59.97,80,34,9.24,scattered clouds
578,Santa Fe,AR,-31.6333,-60.7,75.0,68,0,11.01,light rain
579,Yantongshan,CN,43.2919,126.0094,78.89,68,98,7.83,overcast clouds
580,Grootfontein,NA,-19.5667,18.1167,47.77,57,0,2.3,clear sky
581,Richards Bay,ZA,-28.783,32.0377,65.82,66,0,15.75,clear sky
582,Tatarsk,RU,55.219,75.9828,69.66,71,15,8.12,few clouds
583,Kondagaon,IN,19.6,81.6667,73.9,88,100,1.16,overcast clouds
584,Raudeberg,NO,61.9875,5.1352,47.07,81,100,8.93,overcast clouds
585,Noumea,NC,-22.2763,166.4572,84.18,99,89,1.03,overcast clouds
586,Chapais,CA,49.7834,-74.8492,60.58,57,7,4.38,clear sky
587,Surt,LY,31.2089,16.5887,77.94,63,1,9.55,clear sky
588,Pitogo,PH,13.7847,122.0881,84.79,73,98,3.49,overcast clouds
589,Verkh-Chebula,RU,56.0308,87.6218,68.83,69,27,2.46,scattered clouds
590,Sudbury,CA,46.49,-80.99,67.17,69,43,7.7,scattered clouds
591,Kaputa,ZM,-8.4689,29.6619,62.01,65,3,1.25,clear sky
592,Sirsi,IN,14.6167,74.85,69.48,95,100,10.49,light rain
593,Kirakira,SB,-10.4544,161.9205,83.89,72,22,6.69,few clouds
594,Saryg-Sep,RU,51.5,95.6,70.79,39,6,1.86,clear sky
595,Cayon,KN,17.35,-62.7333,80.13,89,75,12.66,broken clouds
596,Popondetta,PG,-8.7537,148.2534,75.6,92,100,1.74,overcast clouds
597,Marshall,US,34.3834,-86.3333,76.08,91,100,5.01,moderate rain
598,Acari,PE,-15.4311,-74.6158,65.71,72,94,3.2,overcast clouds
599,Toccoa,US,34.5773,-83.3324,82.04,84,40,0.0,scattered clouds
600,Kawalu,ID,-7.3817,108.2082,73.6,89,100,2.28,overcast clouds
601,Porto Novo,BJ,6.4965,2.6036,78.62,95,100,3.53,light rain
602,Morros,BR,-9.4467,-46.3003,70.2,34,0,6.82,clear sky
603,Bilibino,RU,68.0546,166.4372,39.7,92,100,5.14,overcast clouds
604,Broken Arrow,US,36.0526,-95.7908,91.0,46,0,12.66,clear sky
605,Ayorou,NE,14.7308,0.9174,87.82,49,98,18.05,overcast clouds
606,Ust-Shonosha,RU,61.1531,41.343,58.66,79,99,3.67,overcast clouds
607,Amanganj,IN,24.4333,80.0333,86.54,64,100,6.93,overcast clouds
608,Bulawayo,ZW,-20.15,28.5833,47.41,71,0,4.79,clear sky
609,Chara,RU,56.9064,118.2631,53.17,95,100,3.29,moderate rain
610,Vysokogornyy,RU,50.1167,139.15,68.95,75,96,2.59,overcast clouds
611,Beyneu,KZ,45.3167,55.2,80.13,27,0,3.6,clear sky
612,Namibe,AO,-15.1961,12.1522,62.17,83,0,4.47,clear sky
613,Chagoda,RU,59.164,35.3285,57.18,87,97,4.25,overcast clouds
614,Falkenberg,SE,56.9055,12.4912,59.95,91,8,9.15,clear sky
615,Filingue,NE,14.3521,3.3168,87.4,55,76,15.75,light rain
616,Barsovo,RU,61.1667,73.1667,71.02,72,19,9.31,few clouds
617,Talara,PE,-4.5772,-81.2719,64.04,88,100,18.59,overcast clouds
618,Lokosovo,RU,61.1333,74.8167,69.87,66,38,8.39,scattered clouds
619,Fort Saint James,CA,54.4333,-124.25,65.98,45,91,10.38,overcast clouds
620,Ko Samui,TH,9.5357,99.9357,84.11,74,20,6.91,few clouds
621,Kempsey,AU,-31.0833,152.8333,61.92,49,0,4.79,clear sky
622,Maldonado,UY,-34.6667,-54.9167,66.22,86,69,17.05,broken clouds
623,Bagdarin,RU,54.4333,113.6,59.29,76,100,7.31,light rain
624,Damghan,IR,36.1683,54.348,75.4,40,0,1.72,clear sky
625,Jatiroto,ID,-7.8833,111.1167,78.31,72,10,5.1,clear sky
626,Guarapari,BR,-20.6667,-40.4975,65.89,87,0,6.04,clear sky
627,Baoqing,CN,46.3317,132.2111,79.03,58,85,3.8,overcast clouds
628,Inverell,AU,-29.7833,151.1167,57.11,50,0,4.0,clear sky
629,Meiktila,MM,20.8667,95.8667,82.96,66,15,12.75,few clouds
630,Rock Springs,US,41.5875,-109.2029,87.04,20,0,20.71,clear sky
631,Waitati,NZ,-45.75,170.5667,49.8,43,7,1.3,clear sky
632,Lagoa,PT,39.05,-27.9833,67.55,70,96,9.08,overcast clouds
633,Niteroi,BR,-22.8833,-43.1036,71.22,88,40,5.75,scattered clouds
634,North Bend,US,43.4065,-124.2243,67.91,85,20,12.66,few clouds
635,Dera Ghazi Khan,PK,30.0561,70.6348,91.99,55,100,3.96,overcast clouds
636,Iskateley,RU,67.6803,53.1512,55.22,76,83,4.85,broken clouds
637,Abha,SA,18.2164,42.5053,64.22,59,40,4.61,scattered clouds
638,Ubrique,ES,36.6778,-5.446,75.87,39,0,5.08,clear sky
639,Kurumkan,RU,54.3,110.3,64.13,63,100,1.52,light rain
640,Erzincan,TR,39.75,39.5,58.3,82,0,0.0,clear sky
641,Harwich,GB,51.9419,1.2844,59.0,87,0,1.99,clear sky
642,Valparaiso,CL,-33.0393,-71.6273,53.47,88,100,6.91,moderate rain
643,Kahta,TR,37.7855,38.6237,74.57,58,0,2.55,clear sky
644,Pafos,CY,34.7667,32.4167,73.18,73,0,6.91,clear sky
645,Butembo,CD,0.15,29.2833,58.46,77,46,3.22,scattered clouds
646,Lagunas,PE,-5.2269,-75.6753,71.8,99,98,3.04,overcast clouds
647,Ashqelon,IL,31.6693,34.5715,75.09,77,2,4.68,clear sky
648,Tessalit,ML,20.1986,1.0114,90.41,11,63,6.98,broken clouds
649,Vadu Moldovei,RO,47.3833,26.3667,65.35,67,79,5.79,broken clouds
650,Ust-Omchug,RU,61.15,149.6333,82.31,32,63,3.49,broken clouds
651,Gao,ML,16.6362,1.637,87.26,42,46,13.62,scattered clouds
652,Anchorage,US,61.2181,-149.9003,72.64,55,75,13.8,broken clouds
653,Miles City,US,46.4083,-105.8406,90.57,37,0,14.97,clear sky
654,Derzhavinsk,KZ,51.1,66.3167,67.98,64,73,10.07,broken clouds
655,Piacabucu,BR,-10.4056,-36.4344,73.89,85,50,14.45,scattered clouds
656,Iglesias,IT,39.3114,8.535,69.78,67,0,1.97,clear sky
657,Nabire,ID,-3.3667,135.4833,83.43,72,97,3.51,overcast clouds
658,Mormugao,IN,15.4,73.8,79.86,83,100,12.66,drizzle
659,Omsukchan,RU,62.5333,155.8,68.52,47,38,5.28,scattered clouds
660,Orhangazi,TR,40.4892,29.3089,69.51,88,23,2.15,few clouds
661,Terrenate,MX,19.4833,-97.9167,51.33,93,19,8.97,few clouds
662,Lawrenceburg,US,38.0373,-84.8966,73.29,91,0,0.0,clear sky
663,Shangzhi,CN,45.2167,127.9667,80.08,53,8,5.14,clear sky
664,Melbourne,US,28.0836,-80.6081,85.98,80,20,9.22,few clouds
665,Cockburn Town,TC,21.4612,-71.1419,81.64,83,100,21.0,overcast clouds
666,Mae Sot,TH,16.7167,98.5667,80.42,100,75,1.14,broken clouds
667,Tabuk,PH,17.4189,121.4443,84.88,72,100,5.37,overcast clouds
668,Swan Hill,AU,-35.3378,143.5544,56.34,53,0,9.01,clear sky
669,Nacala,MZ,-14.5428,40.6728,64.96,95,19,5.99,few clouds
670,Oksfjord,NO,70.2396,22.3479,53.67,81,18,2.26,few clouds
671,Ternate,ID,0.8,127.4,83.73,71,100,3.58,moderate rain
672,Craig,US,40.5153,-107.5464,91.02,17,0,11.5,clear sky
673,Lithgow,AU,-33.4833,150.15,43.25,96,100,9.1,light rain
674,Ucluelet,CA,48.9329,-125.5528,67.08,80,100,1.01,overcast clouds
675,Portales,US,34.1862,-103.3344,93.88,30,8,8.79,clear sky
676,Borogontsy,RU,62.6683,131.1683,64.71,61,100,7.05,overcast clouds
677,Onda,ES,39.9667,-0.25,73.9,56,0,2.77,clear sky
678,Strezhevoy,RU,60.7333,77.5889,72.32,58,46,9.95,scattered clouds
679,Green Valley,US,31.8543,-110.9937,94.59,50,89,16.06,overcast clouds
680,Aykhal,RU,66.0,111.5,66.31,44,41,11.54,scattered clouds
681,Coruripe,BR,-10.1256,-36.1756,73.71,85,45,15.21,scattered clouds
682,Kongoussi,BF,13.3258,-1.5347,81.41,62,64,12.95,light rain
683,Furano,JP,43.2818,142.4743,67.5,98,100,2.71,moderate rain
684,Tomatlan,MX,19.9333,-105.25,79.45,83,100,2.77,overcast clouds
685,Dengfeng,CN,34.4553,113.0281,78.4,86,99,8.03,overcast clouds
686,Khasan,RU,42.4308,130.6434,66.58,94,100,4.65,overcast clouds
687,Lubango,AO,-14.9172,13.4925,55.27,46,0,3.09,clear sky
688,Santiago,CL,-33.4569,-70.6483,48.85,85,100,9.22,overcast clouds
689,Kalugumalai,IN,9.15,77.7167,81.88,59,100,14.14,overcast clouds
690,Saint-Augustin,CA,51.226,-58.6502,53.13,84,100,12.64,overcast clouds
691,Rouvroy,FR,50.3925,2.904,56.35,78,1,5.46,clear sky
692,Karratha,AU,-20.7377,116.8463,70.48,17,0,12.91,clear sky
693,Monrovia,LR,6.3005,-10.7969,75.97,86,100,11.41,moderate rain
694,Uyo,NG,5.0333,7.9266,72.43,97,100,2.86,moderate rain
695,Mount Darwin,ZW,-16.7725,31.5838,50.47,82,6,3.02,clear sky
696,Padre Bernardo,BR,-15.35,-48.5,63.81,53,0,3.49,clear sky
697,Yatou,CN,37.15,122.3833,84.79,59,6,8.14,clear sky
698,San Cristobal,VE,7.7669,-72.225,77.18,98,100,3.89,overcast clouds
699,Orodara,BF,10.9492,-4.9342,69.8,95,99,7.78,overcast clouds
700,Huilong,CN,31.8111,121.655,86.52,73,89,8.79,overcast clouds
701,Anshun,CN,26.25,105.9333,72.05,84,85,13.13,overcast clouds
702,Charters Towers,AU,-20.1,146.2667,63.59,42,0,11.43,clear sky
703,Korla,CN,41.7597,86.1469,85.46,11,68,7.49,broken clouds
704,Panlaitan,PH,12.1191,119.8486,81.3,82,100,10.2,overcast clouds
705,Northam,GB,51.0333,-4.2167,58.39,91,0,5.73,clear sky
706,Balakhta,RU,55.38,91.6,68.72,63,24,4.21,few clouds
707,Barra Do Garcas,BR,-15.89,-52.2567,70.81,45,0,1.19,clear sky
708,Oswego,US,43.4501,-76.1497,64.58,42,1,4.36,clear sky
709,Colares,PT,38.7992,-9.4469,77.99,79,0,10.51,clear sky
